claim_id,claim_text,related_phase,evidence_source,confidence_tier,rationale,wording_guidance
C01,"CICâ†’IoT LR F1=0.892 [0.886, 0.897] at default threshold is the strongest single cross-domain result",Phase1+Phase6,final_bootstrap_ci_results.csv; final_significance_tests.csv,Tier 1 â€” high confidence,"Tight CI (Â±0.006); LR significantly outperforms XGB (delta=+0.892 p<0.0001) and LSTM (same delta) at this direction; deterministic method","Cite as point estimate with CI: F1=0.892 [0.886, 0.897]"
C02,"UNSWâ†’IoT LR F1=0.860 [0.853, 0.866] is the second strongest cross-domain result",Phase1+Phase6,final_bootstrap_ci_results.csv; final_significance_tests.csv,Tier 1 â€” high confidence,"Tight CI (Â±0.007); LR significantly better than LSTM (delta=+0.153 p<0.0001); deterministic method","Cite as point estimate with CI"
C03,"IoTâ†’UNSW all methods fail (F1<0.14); failure is statistically stable with tight CIs",Phase1+Phase6,final_bootstrap_ci_results.csv; final_dl_seed_stability_results.csv,Tier 1 â€” high confidence,"LR CI [0.030, 0.033]; XGB CI [0.042, 0.046]; LSTM CI [0.130, 0.149]; deterministic for LR/XGB; moderate seed variance for LSTM (std=0.034) still fails","State as stable empirical fact; no caveat needed for LR/XGB"
C04,"All 18 in-domain vs cross-domain comparisons are statistically significant after Holm correction (p<0.0001)",Phase6,final_significance_tests.csv,Tier 1 â€” high confidence,"18/18 significant; effect sizes all large; Holm-corrected; unified paired_bootstrap_f1","State directly"
C05,"LR is the most portable method: best F1 in 4 of 6 cross-domain directions at default threshold",Phase1+Phase6,final_results_master_table.csv; final_significance_tests.csv,Tier 1 â€” high confidence,"Direction wins: CICâ†’IoT (0.892), UNSWâ†’IoT (0.860), UNSWâ†’CIC (0.731), CICâ†’UNSW (0.143); LR vs XGB/LSTM comparisons significant in key directions","State with the caveat that IoTâ†’CIC LSTM outperforms LR at default"
C06,"Threshold portability is a first-order cross-domain deployment problem: fixed_fpr degenerates on 25/45 cross-domain rows (56%)",Phase0+Phase1,final_threshold_portability_table.csv,Tier 1 â€” high confidence,"135-row table; empirical count of degenerate rows; threshold=1.0 produces all-benign prediction","State as primary empirical finding"
C07,"IoT source is systematically weak: IoTâ†’UNSW and IoTâ†’CIC both fail across all methods",Phase1+Phase6,final_results_master_table.csv; final_bootstrap_ci_results.csv,Tier 1 â€” high confidence,"IoTâ†’UNSW best F1=0.139; IoTâ†’CIC best F1=0.261 (LSTM) with high seed variance; LR/XGB both essentially zero on IoTâ†’CIC","Note that IoTâ†’CIC LSTM F1=0.261 has high seed variance (Tier 3 for that specific point estimate)"
C08,"UNSWâ†’IoT asymmetry confirmed: UNSWâ†’IoT succeeds while IoTâ†’UNSW fails â€” not noise",Phase1+Phase6,final_results_master_table.csv; final_bootstrap_ci_results.csv,Tier 1 â€” high confidence,"Both directions have tight CIs; degradation comparisons significant; cross-target comparison uses CI + effect size only","State as structural asymmetry"
C09,"IoT+UNSWâ†’CIC LR val_tuned multisource gain (+0.062 F1) is statistically certified",Phase5+Phase6,final_multisource_transfer_results.csv; final_significance_tests.csv,Tier 1 â€” high confidence,"F1=0.803 [0.801, 0.804]; delta CI [0.062, 0.063]; p<0.0001 Holm-corrected; very tight CI â€” gain is very stable","State as certified multisource gain"
C10,"IoT+UNSWâ†’CIC XGB val_tuned multisource gain (+0.083 F1) is statistically certified",Phase5+Phase6,final_multisource_transfer_results.csv; final_significance_tests.csv,Tier 1 â€” high confidence,"delta CI [0.082, 0.084]; p<0.0001; certified though absolute F1 is modest (0.247)","State as certified; note absolute F1 is low"
C11,"UNSWâ†’CIC LR F1=0.731 [0.730, 0.733] â€” best partial cross-domain success on hard target",Phase0+Phase6,final_bootstrap_ci_results.csv,Tier 2 â€” moderate confidence,"Tight CI; deterministic LR; but CIC is a hard target and UNSW in-domain LR F1=0.538 (lower) â€” caution on interpretation","Cite with CI; contextualise against in-domain baseline"
C12,"CIC+IoTâ†’UNSW LR val_tuned multisource gain (+0.032 F1) is statistically significant but small",Phase5+Phase6,final_significance_tests.csv,Tier 2 â€” moderate confidence,"p<0.0001; but CI [0.060, 0.071] â€” statistically real but practically small; UNSW target absolute F1 still low","Use 'modest but real' framing; do not overstate practical importance"
C13,"CIC+UNSWâ†’IoT LSTM fixed_fpr multisource gain (+0.055 F1) is real but narrow in operational terms",Phase5+Phase6,final_significance_tests.csv,Tier 2 â€” moderate confidence,"p<0.0001; CI [0.041, 0.068]; multisource F1=0.129 vs single-source 0.078; gain certified but margin is narrow","Cite as 'certified narrow gain'; describe absolute F1 context"
C14,"Methods mostly substitute, not complement each other across cross-domain directions",Phase2,final_complementarity_summary.md; final_complementarity_matrix.csv,Tier 2 â€” moderate confidence,"Jaccard analysis shows high overlap when both methods succeed; shared failure pattern when both fail","State as structural pattern; note CICâ†’IoT fixed_fpr OR fusion exception"
C15,"UNSW-trained models have very high false alarm rate (37%) on external benign traffic (hw1/part2.pcap)",Phase3,final_out_of_domain_benign_report.md; final_out_of_domain_benign_metrics.csv,Tier 2 â€” moderate confidence,"Point estimate on single 2956-flow external PCAP; no CI needed (single-dataset FPR is descriptive); CIC/IoT-trained DL models have near-zero FPR on same set","State as single-dataset empirical observation; specify the external set"
C16,"Two distinct degradation modes: (1) rank preserved but threshold fails; (2) rank collapses",Phase4,final_degradation_source_analysis.md; final_feature_drift_summary.csv,Tier 2 â€” moderate confidence,"Feature-level KS statistics and score distribution analysis support the typology; qualitative characterization of failure modes","Describe as two empirically observed modes; avoid overgeneralizing to all possible domains"
C17,"UNSWâ†’IoT LSTM canonical F1=0.707 is unreliable: seed std=0.184 (range 0.44â€“0.80)",Phase6,final_dl_seed_stability_results.csv,Tier 3 â€” caution required,"Seed variance extremely high; canonical result is seed 42 only; true performance could be anywhere from 0.44 to 0.80","Do NOT cite 0.707 as point estimate; describe as 'variable, seed std=0.184, range 0.44â€“0.80'"
C18,"IoTâ†’CIC LSTM default F1=0.261 has high seed variance (std=0.149; range 0.03â€“0.27)",Phase6,final_dl_seed_stability_results.csv,Tier 3 â€” caution required,"seed std=0.149; canonical is seed 42 only; LSTM is better than LR at default for this direction but the lead may not reproduce","Cite with explicit seed variance warning; prefer LR/XGB results for IoTâ†’CIC conclusions"
C19,"UNSWâ†’CIC CNN1D has high seed variance (std=0.042)",Phase6,final_dl_seed_stability_results.csv,Tier 3 â€” caution required,"std=0.042 F1; range=0.083; canonical point estimate not reliable","Describe as unreliable; reference LR/LSTM instead for UNSWâ†’CIC conclusions"
C20,"CIC in-domain DL results are extremely seed-stable (CNN1D/LSTM std<0.002)",Phase6,final_dl_seed_stability_results.csv,Tier 1 â€” high confidence,"Confirmed across 3 seeds; very tight variance; large training set stabilizes DL","Cite as stable; no caveat needed"
C21,"RF is the strongest in-domain method on UNSW (F1=0.830) but brittle cross-domain (best cross-domain F1â‰ˆ0)",Phase0+Phase1,final_results_master_table.csv,Tier 1 â€” high confidence,"Empirical fact across all 6 cross-domain directions; RF fails in every cross-domain setting","State as direct contrast"
C22,"CICâ†’IoT cross-domain (LR F1=0.892) outperforms IoT in-domain (LR F1=0.061) â€” the IoT paradox",Phase0+Phase1,final_results_master_table.csv,Tier 1 â€” high confidence,"Both results stable and deterministic; the paradox arises from family-disjoint IoT split (Mirai train vs Torii/Hajime test)","Explain mechanistically; do not present as evidence that cross-domain is generically better"
C23,"Multisource training does not universally improve performance; gains are direction-, method-, and tier-specific",Phase5+Phase6,final_multisource_transfer_results.csv; final_significance_tests.csv,Tier 1 â€” high confidence,"CIC+UNSWâ†’IoT shows degradation at default/val_tuned; CIC+IoTâ†’UNSW shows minimal gain; only IoT+UNSWâ†’CIC direction shows clear multi-method gains","State negative result clearly; this is not a general recommendation for multisource"
