section,subsection,finding_id,finding_summary,best_f1,best_method,key_metric_2,key_metric_2_value,confidence_tier,evidence_source,deployment_implication
A — Core Single-Source,In-domain CIC-IDS2017,A01,Best in-domain F1=0.320 (CNN1D/LSTM at default); ROC-AUC=0.997 for CNN1D; threshold calibration gap is the bottleneck not model quality,0.320,CNN1D/LSTM,ROC-AUC,0.997,Tier 1 — high confidence,final_results_master_table.csv,High imbalance (40% attack); val-tuned threshold recommended for deployment
A — Core Single-Source,In-domain IoT-23,A02,Best in-domain F1=0.468 (LSTM); family-disjoint split makes in-domain harder than cross-domain from diverse sources,0.468,LSTM,ROC-AUC,0.894,Tier 1 — high confidence,final_results_master_table.csv,Family-disjoint evaluation; in-domain F1 is structurally low — not a model failure
A — Core Single-Source,In-domain UNSW-NB15,A03,Best in-domain F1=0.830 (RF); full category overlap and low imbalance (5.7%) make UNSW easiest in-domain target,0.830,RF,ROC-AUC,0.993,Tier 1 — high confidence,final_results_master_table.csv,RF is best in-domain but brittle cross-domain; do not deploy RF for cross-domain use cases
A — Core Single-Source,Cross-domain CIC→IoT,A04,LR F1=0.892 [0.886 0.897]; strongest single cross-domain result; linear boundary on rate/volume features generalizes to IoT C&C,0.892,LR,ROC-AUC,0.983,Tier 1 — high confidence,final_results_master_table.csv; final_bootstrap_ci_results.csv,CIC-trained LR is viable for IoT botnet detection without target-domain adaptation
A — Core Single-Source,Cross-domain UNSW→IoT,A05,LR F1=0.860 [0.853 0.866]; second strongest result; UNSW diverse training transfers to IoT C&C,0.860,LR,ROC-AUC,0.875,Tier 1 — high confidence,final_results_master_table.csv; final_bootstrap_ci_results.csv,UNSW-trained LR is also viable for IoT deployment; LR preferred over LSTM (LSTM is seed-unstable)
A — Core Single-Source,Cross-domain UNSW→CIC,A06,LR F1=0.731 [0.730 0.733]; only partial success on hard CIC target; LSTM F1=0.631,0.731,LR,ROC-AUC,0.643,Tier 2 — moderate confidence,final_results_master_table.csv,CIC is a hard target; UNSW→CIC LR is the best option but ROC-AUC (0.643) is modest
A — Core Single-Source,Cross-domain CIC→UNSW,A07,Near-total failure: LR F1=0.143 is best; UNSW is a hard target from CIC,0.143,LR,ROC-AUC,0.620,Tier 1 — high confidence,final_results_master_table.csv,Do not deploy CIC-trained models on UNSW-like environments
A — Core Single-Source,Cross-domain IoT→UNSW,A08,Near-total failure: LSTM F1=0.139 is best; IoT source systematically poor; all methods fail,0.139,LSTM,ROC-AUC,0.628,Tier 1 — high confidence,final_results_master_table.csv,IoT-trained models cannot detect UNSW protocol-based attacks
A — Core Single-Source,Cross-domain IoT→CIC,A09,Near-total failure: LSTM F1=0.261 (high seed variance); LR F1=0.086; IoT source systematically poor,0.261,LSTM (caution: seed std=0.149),ROC-AUC,0.834,Tier 3 — caution required for LSTM; Tier 1 for failure conclusion,final_results_master_table.csv; final_dl_seed_stability_results.csv,IoT→CIC failure conclusion is stable; LSTM point estimate is not reliable
B — Threshold Portability,Fixed-FPR degeneracy,B01,fixed_fpr degenerates (threshold→1.0) on 25/45 cross-domain rows (56%); predicts all-benign on majority of cross-domain settings,N/A,N/A,degenerate_count,25 of 45,Tier 1 — high confidence,final_threshold_portability_table.csv,NEVER use source-tuned fixed_fpr threshold for cross-domain deployment
B — Threshold Portability,Val-tuned degeneracy,B02,val_tuned degenerates on 6/45 rows (13%); far fewer than fixed_fpr but still affects CIC LR and IoT→CIC XGB,N/A,N/A,degenerate_count,6 of 45,Tier 1 — high confidence,final_threshold_portability_table.csv,Val-tuned is safer than fixed_fpr but still requires target-domain validation
B — Threshold Portability,Default threshold (0.5),B03,Default threshold (0.5) never degenerates (0/45 degenerate) but produces wildly variable performance across directions,N/A,N/A,degenerate_count,0 of 45,Tier 1 — high confidence,final_threshold_portability_table.csv,Default is the most robust threshold for cross-domain deployment; tune on target if possible
B — Threshold Portability,Rank signal preservation,B04,"Models retain rank-ordering ability (ROC-AUC > 0.6) even when F1=0 at default threshold; the bottleneck is score distribution shift, not discriminative ability",N/A,N/A,ROC-AUC_when_F1_zero,>0.6 in most cases,Tier 1 — high confidence,final_results_master_table.csv,"Implication: calibration transfer (Platt scaling) may unlock latent performance; ROC-AUC is a better measure of model quality than F1 for cross-domain comparison"
B — Threshold Portability,UNSW→IoT exception,B05,UNSW→IoT is the only direction where fixed_fpr produces non-degenerate results; LR val_tuned F1=0.864 and fixed_fpr F1>0,0.864,LR val_tuned,N/A,N/A,Tier 1 — high confidence,final_threshold_portability_table.csv,UNSW→IoT is unusually robust to threshold choice — LR can be deployed with any tier
C — Complementarity,Overall pattern,C01,Methods primarily substitute not complement; when they succeed they detect the same flows; when they fail they fail on the same attacks,N/A,N/A,N/A,N/A,Tier 2 — moderate confidence,final_complementarity_summary.md; final_complementarity_matrix.csv,Simple OR/AND fusion does not reliably improve over best single method in cross-domain settings
C — Complementarity,CIC→IoT fixed_fpr exception,C02,CIC→IoT fixed_fpr OR fusion (LR+LSTM) achieves modest gain F1=0.848 vs LR alone; FPR=1.4%,0.848,OR(LR+LSTM) fixed_fpr,N/A,N/A,Tier 2 — moderate confidence,final_lightweight_fusion_results.csv,This is the only cross-domain setting with a deployment-worthy fusion; verify on real traffic
C — Complementarity,Failed fusion directions,C03,"OR fusion on failed directions (IoT→UNSW, IoT→CIC, CIC→UNSW) catastrophically inflates FPR without recovering TP",N/A,N/A,FPR_inflation,severe,Tier 1 — high confidence,final_lightweight_fusion_results.csv,Never use OR fusion on cross-domain failed directions
D — External Benign,UNSW-trained models,D01,UNSW-trained LR default produces 37% FPR on external benign traffic (hw1/part2.pcap 2956 flows); deployment alarm rate ~6564/hour,N/A,N/A,external_FPR,0.37,Tier 2 — moderate confidence (single dataset),final_out_of_domain_benign_report.md,Do not deploy UNSW-trained LR on networks with traffic profiles dissimilar to UNSW training environment
D — External Benign,CIC/IoT-trained DL,D02,CIC-trained CNN1D and LSTM produce near-zero FPR on same external benign set; IoT-trained models also low FPR,N/A,N/A,external_FPR,~0.0,Tier 2 — moderate confidence (single dataset),final_out_of_domain_benign_report.md,CIC-trained DL models are more conservative on external benign traffic; preferred for low-FPR deployment
D — External Benign,Source dependency,D03,False alarm rate on external benign traffic is source-dependent; same external traffic produces 37% FPR (UNSW-LR) vs 0% FPR (CIC-LSTM),N/A,N/A,N/A,N/A,Tier 2 — moderate confidence,final_out_of_domain_benign_report.md,"Match source training environment to deployment target environment; 'high in-domain performance' does not guarantee low false alarms on external benign traffic"
E — Degradation Sources,Mode 1: rank preserved,E01,"Rank signal preserved (ROC-AUC >0.6) but threshold fails: CIC→IoT XGB/LSTM, IoT→CIC LR/XGB — score distributions shift so positive-class scores fall below 0.5",N/A,N/A,typical_ROC-AUC,>0.8,Tier 2 — moderate confidence,final_degradation_source_analysis.md; final_feature_drift_summary.csv,These models are rescueable via threshold calibration; val-tuned threshold should be tried first
E — Degradation Sources,Mode 2: rank collapses,E02,"Rank signal collapses (ROC-AUC near random): IoT→UNSW all methods, UNSW→CIC CNN1D/XGB — feature distributions qualitatively different; model learns source-specific patterns only",N/A,N/A,mean_KS_drift,0.405 (IoT→UNSW),Tier 2 — moderate confidence,final_degradation_source_analysis.md; final_feature_drift_summary.csv,These models cannot be rescued by threshold adjustment; need source-domain retraining or domain adaptation
E — Degradation Sources,IoT source weakness root cause,E03,IoT→UNSW timing features (delta_t KS=0.558): Mirai repetitive C&C timing patterns qualitatively different from UNSW protocol attacks; narrow source boundary fails to generalize,N/A,N/A,delta_t_KS,0.558,Tier 2 — moderate confidence,final_feature_drift_summary.csv; final_degradation_source_analysis.md,Feature drift in temporal features (delta_t) is the primary degradation driver for IoT source; rich timing features would not help — they would overfit Mirai patterns more
F — Multisource,Clear gain direction,F01,"IoT+UNSW→CIC: LR val_tuned F1=0.803 (+0.062 vs single-source), XGB val_tuned +0.083 — two-source diversity helps on hard target when neither source dominates",0.803,LR val_tuned,gain_over_best_single,+0.062,Tier 1 — high confidence,final_multisource_transfer_results.csv; final_significance_tests.csv,Multisource is recommended for CIC-target deployment when both IoT and UNSW data are available
F — Multisource,Marginal gain direction,F02,CIC+IoT→UNSW: LR val_tuned +0.032 F1 — statistically significant but operationally small; UNSW is still a hard target,N/A,N/A,gain_over_best_single,+0.032,Tier 2 — moderate confidence,final_significance_tests.csv,Marginal benefit does not justify multisource overhead for UNSW-target deployment
F — Multisource,CIC dominance problem,F03,"CIC+UNSW→IoT and CIC+IoT→UNSW: CIC dataset (1M+ flows) dominates training; combined LR ≈ CIC single-source; XGB collapses due to scale_pos_weight conflict",N/A,N/A,N/A,N/A,Tier 1 — high confidence,final_multisource_transfer_report.md,Dataset size imbalance in multisource training is a critical practical challenge; subsampling or dataset weighting needed
F — Multisource,LSTM fixed_fpr narrow gain,F04,CIC+UNSW→IoT LSTM fixed_fpr: +0.055 F1 [0.041 0.068] — certified but narrow; absolute F1=0.129 vs 0.078,N/A,N/A,gain_over_best_single,+0.055,Tier 2 — moderate confidence,final_significance_tests.csv,Narrow gain — real but operationally marginal; requires target-domain FPR calibration which is not available in strict cross-domain protocol
G — Robustness,Tier 1 — high confidence conclusions,G01,"CIC→IoT LR, UNSW→IoT LR/XGB, all failure directions (IoT→UNSW LR/XGB), all in-domain vs cross-domain comparisons, RF brittleness, CIC in-domain DL stability: all certified",N/A,N/A,N/A,N/A,Tier 1 — high confidence,final_statistical_robustness_report.md; final_bootstrap_ci_results.csv,These conclusions can be stated directly without additional caveats
G — Robustness,Tier 2 — moderate conclusions,G02,"UNSW→CIC LR/LSTM, Phase 5 gains, threshold tier differences (significant but often small), external benign FPR: real findings with noted limitations",N/A,N/A,N/A,N/A,Tier 2 — moderate confidence,final_statistical_robustness_report.md,State with CI or effect size; contextualise limitations
G — Robustness,Tier 3 — caution conclusions,G03,"UNSW→IoT LSTM (seed std=0.184), IoT→CIC LSTM (seed std=0.149), UNSW→CIC CNN1D (std=0.042): canonical point estimates are not reliable; may not reproduce",N/A,N/A,N/A,N/A,Tier 3 — caution required,final_dl_seed_stability_results.csv,These results MUST be presented with explicit seed variance warning; the failure conclusion for IoT→CIC remains Tier 1 — only the LSTM point estimate is uncertain
